Date,Weekly Regular Average,Weekly Midgrade Average,Weekly Premium Average
5/26/2003,1.421,1.52,1.614
6/2/2003,1.365,1.464,1.561
6/9/2003,1.487,1.587,1.679
6/16/2003,1.515,1.616,1.711
6/23/2003,1.391,1.488,1.588
6/30/2003,1.435,1.534,1.633
7/7/2003,1.413,1.514,1.616
7/14/2003,1.467,1.566,1.662
7/21/2003,1.515,1.614,1.709
7/28/2003,1.469,1.571,1.667
8/4/2003,1.5,1.601,1.697
8/11/2003,1.538,1.637,1.734
8/18/2003,1.604,1.706,1.805
8/25/2003,1.741,1.839,1.935
9/1/2003,1.679,1.776,1.874
9/8/2003,1.608,1.708,1.806
9/15/2003,1.692,1.793,1.887
9/22/2003,1.595,1.69,1.789
9/29/2003,1.501,1.601,1.696
10/6/2003,1.539,1.642,1.74
10/13/2003,1.549,1.648,1.746
10/20/2003,1.559,1.661,1.759
10/27/2003,1.466,1.565,1.664
11/3/2003,1.537,1.64,1.733
11/10/2003,1.422,1.52,1.618
11/17/2003,1.437,1.539,1.639
11/24/2003,1.5,1.601,1.698
12/1/2003,1.379,1.479,1.578
12/8/2003,1.391,1.493,1.592
12/15/2003,1.36,1.46,1.561
12/22/2003,1.46,1.564,1.661
12/29/2003,1.423,1.523,1.623
1/5/2004,1.513,1.613,1.706
1/12/2004,1.547,1.647,1.741
1/19/2004,1.584,1.685,1.777
1/26/2004,1.646,1.75,1.844
2/2/2004,1.564,1.663,1.761
2/9/2004,1.642,1.744,1.84
2/16/2004,1.667,1.77,1.859
2/23/2004,1.702,1.805,1.901
3/1/2004,1.716,1.82,1.914
3/8/2004,1.711,1.812,1.907
3/15/2004,1.604,1.707,1.802
3/22/2004,1.674,1.777,1.873
3/29/2004,1.728,1.83,1.924
4/5/2004,1.728,1.828,1.922
4/12/2004,1.737,1.838,1.932
4/19/2004,1.776,1.878,1.97
4/26/2004,1.78,1.882,1.978
5/3/2004,1.788,1.886,1.98
5/10/2004,1.86,1.96,2.057
5/17/2004,1.996,2.095,2.188
5/24/2004,2.051,2.154,2.245
5/31/2004,1.959,2.06,2.161
6/7/2004,1.951,2.057,2.148
6/14/2004,1.802,1.905,2.004
6/21/2004,1.719,1.821,1.921
6/28/2004,1.773,1.877,1.974
7/5/2004,1.784,1.886,1.984
7/12/2004,1.857,1.96,2.055
7/19/2004,1.889,1.991,2.086
7/26/2004,1.796,1.896,1.994
8/2/2004,1.805,1.905,2.006
8/9/2004,1.861,1.962,2.059
8/16/2004,1.875,1.977,2.074
8/23/2004,1.865,1.965,2.061
8/30/2004,1.76,1.862,1.961
9/6/2004,1.787,1.889,1.992
9/13/2004,1.795,1.898,1.999
9/20/2004,1.887,1.99,2.088
9/27/2004,1.934,2.036,2.133
10/4/2004,1.877,1.98,2.08
10/11/2004,1.955,2.056,2.159
10/18/2004,2.003,2.1,2.202
10/25/2004,1.953,2.055,2.156
11/1/2004,1.973,2.08,2.182
11/8/2004,1.89,1.996,2.1
11/15/2004,1.827,1.927,2.031
11/22/2004,1.851,1.952,2.055
11/29/2004,1.893,1.995,2.1
12/6/2004,1.796,1.9,2.005
12/13/2004,1.682,1.781,1.887
12/20/2004,1.746,1.848,1.949
12/27/2004,1.703,1.804,1.909
1/3/2005,1.744,1.845,1.948
1/10/2005,1.801,1.903,2.004
1/17/2005,1.793,1.894,1.995
1/24/2005,1.883,1.986,2.084
1/31/2005,1.914,2.023,2.123
2/7/2005,1.928,2.029,2.13
2/14/2005,1.845,1.945,2.049
2/21/2005,1.887,1.989,2.091
2/28/2005,1.944,2.045,2.15
3/7/2005,2.059,2.16,2.265
3/14/2005,2.101,2.2,2.3
3/21/2005,2.14,2.243,2.344
3/28/2005,2.142,2.244,2.345
4/4/2005,2.193,2.294,2.394
4/11/2005,2.22,2.322,2.423
4/18/2005,2.066,2.168,2.273
4/25/2005,2.156,2.258,2.359
5/2/2005,2.138,2.241,2.344
5/9/2005,2.021,2.122,2.221
5/16/2005,2.021,2.122,2.229
5/23/2005,1.994,2.094,2.202
5/30/2005,1.982,2.082,2.19
6/6/2005,2.006,2.105,2.213
6/13/2005,2.078,2.181,2.286
6/20/2005,2.082,2.18,2.284
6/27/2005,2.204,2.306,2.408
7/4/2005,2.178,2.279,2.382
7/11/2005,2.335,2.438,2.542
7/18/2005,2.234,2.335,2.44
7/25/2005,2.139,2.237,2.348
8/1/2005,2.196,2.297,2.399
8/8/2005,2.328,2.428,2.531
8/15/2005,2.491,2.596,2.701
8/22/2005,2.57,2.675,2.777
8/29/2005,2.601,2.705,2.806
9/5/2005,3.019,3.117,3.231
9/12/2005,2.901,2.997,3.115
9/19/2005,2.673,2.77,2.881
9/26/2005,2.716,2.812,2.921
10/3/2005,2.915,3.016,3.119
10/10/2005,2.768,2.864,2.971
10/17/2005,2.571,2.67,2.783
10/24/2005,2.407,2.506,2.62
10/31/2005,2.268,2.365,2.481
11/7/2005,2.151,2.247,2.364
11/14/2005,2.137,2.235,2.35
11/21/2005,2.029,2.127,2.247
11/28/2005,1.999,2.095,2.215
12/5/2005,2.159,2.259,2.371
12/12/2005,2.209,2.306,2.415
12/19/2005,2.23,2.33,2.441
12/26/2005,2.221,2.319,2.428
1/2/2006,2.278,2.373,2.481
1/9/2006,2.368,2.467,2.572
1/16/2006,2.243,2.337,2.448
1/23/2006,2.267,2.372,2.479
1/30/2006,2.362,2.461,2.565
2/6/2006,2.25,2.347,2.458
2/13/2006,2.117,2.211,2.325
2/20/2006,2.109,2.203,2.318
2/27/2006,2.284,2.386,2.494
3/6/2006,2.421,2.522,2.623
3/13/2006,2.399,2.499,2.606
3/20/2006,2.524,2.62,2.727
3/27/2006,2.468,2.565,2.673
4/3/2006,2.572,2.671,2.775
4/10/2006,2.65,2.745,2.853
4/17/2006,2.774,2.87,2.974
4/24/2006,2.858,2.952,3.064
5/1/2006,2.806,2.9,3.011
5/8/2006,2.765,2.86,2.97
5/15/2006,2.88,2.977,3.082
5/22/2006,2.703,2.799,2.912
5/29/2006,2.765,2.868,2.972
6/5/2006,2.829,2.929,3.035
6/12/2006,2.846,2.946,3.054
6/19/2006,2.738,2.834,2.944
6/26/2006,2.791,2.89,2.995
7/3/2006,2.879,2.976,3.082
7/10/2006,2.943,3.044,3.146
7/17/2006,2.975,3.077,3.18
7/24/2006,3.006,3.108,3.206
7/31/2006,2.936,3.032,3.136
8/7/2006,2.995,3.096,3.201
8/14/2006,2.859,2.954,3.068
8/21/2006,2.71,2.805,2.924
8/28/2006,2.577,2.669,2.788
9/4/2006,2.426,2.519,2.639
9/11/2006,2.306,2.398,2.517
9/18/2006,2.207,2.303,2.425
9/25/2006,2.11,2.207,2.323
10/2/2006,2.106,2.202,2.315
10/9/2006,2.105,2.203,2.314
10/16/2006,2.09,2.187,2.3
10/23/2006,2.14,2.236,2.35
10/30/2006,2.196,2.291,2.404
11/6/2006,2.218,2.316,2.427
11/13/2006,2.226,2.326,2.435
11/20/2006,2.239,2.34,2.45
11/27/2006,2.225,2.324,2.434
12/4/2006,2.276,2.374,2.482
12/11/2006,2.183,2.279,2.39
12/18/2006,2.292,2.394,2.5
12/25/2006,2.263,2.361,2.47
1/1/2007,2.308,2.409,2.516
1/8/2007,2.222,2.315,2.427
1/15/2007,2.046,2.138,2.253
1/22/2007,1.98,2.076,2.198
1/29/2007,2.151,2.251,2.364
2/5/2007,2.213,2.313,2.423
2/12/2007,2.318,2.421,2.528
2/19/2007,2.375,2.475,2.58
2/26/2007,2.397,2.494,2.598
3/5/2007,2.47,2.552,2.673
3/12/2007,2.495,2.593,2.698
3/19/2007,2.478,2.579,2.69
3/26/2007,2.543,2.645,2.749
4/2/2007,2.623,2.725,2.823
4/9/2007,2.742,2.846,2.948
4/16/2007,2.8,2.902,3.006
4/23/2007,2.77,2.875,2.978
4/30/2007,2.937,3.041,3.144
5/7/2007,3.144,3.243,3.346
5/14/2007,3.148,3.253,3.352
5/21/2007,3.233,3.338,3.439
5/28/2007,3.335,3.445,3.546
6/4/2007,3.193,3.301,3.409
6/11/2007,2.999,3.105,3.214
6/18/2007,2.903,3.009,3.122
6/25/2007,2.916,3.018,3.134
7/2/2007,2.829,2.931,3.047
7/9/2007,2.949,3.054,3.164
7/16/2007,3.065,3.173,3.277
7/23/2007,2.797,2.897,3.013
7/30/2007,2.614,2.711,2.833
8/6/2007,2.686,2.788,2.904
8/13/2007,2.658,2.76,2.877
8/20/2007,2.833,2.938,3.04
8/27/2007,2.788,2.893,2.998
9/3/2007,2.985,3.094,3.187
9/10/2007,2.933,3.038,3.139
9/17/2007,2.775,2.888,2.994
9/24/2007,2.856,2.96,3.064
10/1/2007,2.707,2.809,2.921
10/8/2007,2.744,2.847,2.961
10/15/2007,2.74,2.842,2.953
10/22/2007,2.801,2.9,3.008
10/29/2007,2.924,3.027,3.134
11/5/2007,3.076,3.177,3.282
11/12/2007,3.16,3.264,3.367
11/19/2007,3.06,3.16,3.268
11/26/2007,3.063,3.166,3.271
12/3/2007,3.017,3.121,3.229
12/10/2007,2.897,3,3.112
12/17/2007,2.99,3.098,3.206
12/24/2007,2.931,3.032,3.143
12/31/2007,3.062,3.162,3.267
1/7/2008,3.161,3.263,3.364
1/14/2008,3.011,3.111,3.218
1/21/2008,3.007,3.114,3.218
1/28/2008,2.946,3.049,3.157
2/4/2008,2.987,3.09,3.2
2/11/2008,2.967,3.071,3.176
2/18/2008,3.092,3.195,3.297
2/25/2008,3.049,3.149,3.254
3/3/2008,3.055,3.155,3.261
3/10/2008,3.25,3.355,3.455
3/17/2008,3.321,3.418,3.527
3/24/2008,3.184,3.282,3.391
